,Unnamed: 0,host,http.request.duration,http.request.method,http.request.remoteaddr,http.request.uri,http.request.useragent,http.response.status,http.response.written,id,timestamp
3562,3562,786b3803,0.988950315,GET,d51e1ab3,v2/64431afe/eec8974d/blobs/793c8a2b,docker/1.10.0 go/go1.5.3 git-commit/590d5108 kernel/4.4.0-71-generic os/linux arch/amd64,200,72626.0,d8396d1555,2017-06-20 00:00:03.589
26058,26058,ae280635,1.051686583,GET,d51e1ab3,v2/64431afe/eec8974d/blobs/d5fe32c1,docker/1.10.0 go/go1.5.3 git-commit/590d5108 kernel/4.4.0-71-generic os/linux arch/amd64,200,676.0,f26d547a69,2017-06-20 00:00:04.564
11393,11393,260f35e1,0.8571088309999999,GET,d51e1ab3,v2/64431afe/eec8974d/blobs/36793feb,docker/1.10.0 go/go1.5.3 git-commit/590d5108 kernel/4.4.0-71-generic os/linux arch/amd64,200,162.0,3323c2db6d,2017-06-20 00:00:05.504
48607,48607,260f35e1,5.912634172000001,GET,d51e1ab3,v2/64431afe/eec8974d/blobs/182bd6f9,docker/1.10.0 go/go1.5.3 git-commit/590d5108 kernel/4.4.0-71-generic os/linux arch/amd64,200,364.0,9d2e99c1d9,2017-06-20 00:00:08.561
38134,38134,906357ea,0.672528314,GET,c095c6ec,v2/0c36597f/7b2518d3/blobs/83d6821d,docker/1.8.1 go/go1.4.2 git-commit/d12ea79 kernel/3.19.0-51-generic os/linux arch/amd64,200,32.0,9c61abe137,2017-06-20 00:00:14.123
3568,3568,dc118836,0.6360411420000001,GET,c095c6ec,v2/0c36597f/7b2518d3/blobs/83d6821d,docker/1.8.1 go/go1.4.2 git-commit/d12ea79 kernel/3.19.0-51-generic os/linux arch/amd64,200,32.0,9cd69d0429,2017-06-20 00:00:14.134
37121,37121,dc118836,0.6570409140000001,GET,c095c6ec,v2/0c36597f/7b2518d3/blobs/305a512e,docker/1.8.1 go/go1.4.2 git-commit/d12ea79 kernel/3.19.0-51-generic os/linux arch/amd64,200,1002.0,ab991c6734,2017-06-20 00:00:14.136
11399,11399,79634854,0.667670356,GET,c095c6ec,v2/0c36597f/7b2518d3/blobs/7aa06bf5,docker/1.8.1 go/go1.4.2 git-commit/d12ea79 kernel/3.19.0-51-generic os/linux arch/amd64,200,859.0,16a7ec2eef,2017-06-20 00:00:14.175
38125,38125,906357ea,0.802343019,GET,c095c6ec,v2/0c36597f/7b2518d3/blobs/27afccd9,docker/1.8.1 go/go1.4.2 git-commit/d12ea79 kernel/3.19.0-51-generic os/linux arch/amd64,200,97199.0,3d20e4de28,2017-06-20 00:00:14.182
4947,4947,906357ea,0.6991912960000001,GET,c095c6ec,v2/0c36597f/7b2518d3/blobs/fd34ddbc,docker/1.8.1 go/go1.4.2 git-commit/d12ea79 kernel/3.19.0-51-generic os/linux arch/amd64,200,822.0,551ed6240b,2017-06-20 00:00:14.201
3570,3570,79634854,0.812677407,GET,c095c6ec,v2/0c36597f/7b2518d3/blobs/6bd13d79,docker/1.8.1 go/go1.4.2 git-commit/d12ea79 kernel/3.19.0-51-generic os/linux arch/amd64,200,514.0,178e7ad912,2017-06-20 00:00:14.263
26869,26869,906357ea,0.6720853109999999,GET,c095c6ec,v2/0c36597f/7b2518d3/blobs/a6b8a5d3,docker/1.8.1 go/go1.4.2 git-commit/d12ea79 kernel/3.19.0-51-generic os/linux arch/amd64,200,163.0,910ef40952,2017-06-20 00:00:14.305
48610,48610,79634854,0.968802298,GET,0ee76ffa,v2/4715bf52/958c3568/blobs/e18ad8f6,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,3785.0,ab5a6d46a1,2017-06-20 00:00:14.327
38098,38098,906357ea,0.88649943,GET,c095c6ec,v2/0c36597f/7b2518d3/blobs/96a9714f,docker/1.8.1 go/go1.4.2 git-commit/d12ea79 kernel/3.19.0-51-generic os/linux arch/amd64,200,285750.0,7808f843df,2017-06-20 00:00:14.369
48611,48611,79634854,0.936025343,GET,c095c6ec,v2/0c36597f/7b2518d3/blobs/a03ec745,docker/1.8.1 go/go1.4.2 git-commit/d12ea79 kernel/3.19.0-51-generic os/linux arch/amd64,200,422678.0,641ee2ac28,2017-06-20 00:00:14.392
3569,3569,dc118836,1.0371285209999999,GET,c095c6ec,v2/0c36597f/7b2518d3/blobs/c79357c3,docker/1.8.1 go/go1.4.2 git-commit/d12ea79 kernel/3.19.0-51-generic os/linux arch/amd64,200,92.0,bca002f0c1,2017-06-20 00:00:14.450
38135,38135,906357ea,1.1154709440000001,GET,0ee76ffa,v2/4715bf52/958c3568/blobs/322f7875,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,78133.0,15a05b79c3,2017-06-20 00:00:14.476
37135,37135,79634854,2.024366367,GET,0ee76ffa,v2/4715bf52/958c3568/blobs/1c91392a,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,2313384.0,990dbaf1a9,2017-06-20 00:00:15.381
26049,26049,260f35e1,10.190205683,GET,d51e1ab3,v2/64431afe/eec8974d/blobs/5b37c408,docker/1.10.0 go/go1.5.3 git-commit/590d5108 kernel/4.4.0-71-generic os/linux arch/amd64,200,22158883.0,af06d5ae53,2017-06-20 00:00:15.766
48612,48612,dc118836,2.5080475680000003,GET,0ee76ffa,v2/4715bf52/958c3568/blobs/6f964d32,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,3346037.0,5d684118ef,2017-06-20 00:00:15.867
11400,11400,dc118836,2.931118043,GET,c095c6ec,v2/0c36597f/7b2518d3/blobs/c79d7150,docker/1.8.1 go/go1.4.2 git-commit/d12ea79 kernel/3.19.0-51-generic os/linux arch/amd64,200,5106890.0,dc916145cd,2017-06-20 00:00:16.378
11401,11401,79634854,2.2356742,GET,0ee76ffa,v2/4715bf52/958c3568/blobs/c8f46a24,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,2092316.0,dac09b3ca0,2017-06-20 00:00:16.585
37127,37127,79634854,1.796696623,GET,d51e1ab3,v2/64431afe/eec8974d/blobs/2910754a,docker/1.10.0 go/go1.5.3 git-commit/590d5108 kernel/4.4.0-71-generic os/linux arch/amd64,200,1476531.0,2376f76316,2017-06-20 00:00:17.472
48896,48896,906357ea,1.266285611,GET,d51e1ab3,v2/64431afe/eec8974d/blobs/38049fab,docker/1.10.0 go/go1.5.3 git-commit/590d5108 kernel/4.4.0-71-generic os/linux arch/amd64,200,858032.0,5d2d72f9da,2017-06-20 00:00:18.807
15729,15729,906357ea,5.268358035,GET,c095c6ec,v2/0c36597f/7b2518d3/blobs/015600e6,docker/1.8.1 go/go1.4.2 git-commit/d12ea79 kernel/3.19.0-51-generic os/linux arch/amd64,200,9975454.0,107444f1ef,2017-06-20 00:00:19.152
37134,37134,dc118836,13.163401990999999,GET,c095c6ec,v2/0c36597f/7b2518d3/blobs/a4b3d51f,docker/1.8.1 go/go1.4.2 git-commit/d12ea79 kernel/3.19.0-51-generic os/linux arch/amd64,200,28540435.0,ac65478550,2017-06-20 00:00:26.626
37143,37143,dc118836,21.634459826999997,GET,c095c6ec,v2/0c36597f/7b2518d3/blobs/83a6ccf2,docker/1.8.1 go/go1.4.2 git-commit/d12ea79 kernel/3.19.0-51-generic os/linux arch/amd64,200,45724127.0,ad66c7495f,2017-06-20 00:00:35.335
48909,48909,906357ea,1.20225753,GET,c86f7a7a,v2/987f5d81/7723208a/blobs/188c711d,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-71-generic os/linux arch/amd64 UpstreamClient(Go-http-client/1.1),200,541.0,656ca29b59,2017-06-20 00:00:35.470
3545,3545,dc118836,1.269414806,GET,c86f7a7a,v2/987f5d81/7723208a/blobs/40807863,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-71-generic os/linux arch/amd64 UpstreamClient(Go-http-client/1.1),200,5631.0,464579265b,2017-06-20 00:00:35.534
11410,11410,79634854,1.9493471009999999,GET,c86f7a7a,v2/987f5d81/7723208a/blobs/e5c638d2,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-71-generic os/linux arch/amd64 UpstreamClient(Go-http-client/1.1),200,1454970.0,4679bd6347,2017-06-20 00:00:36.213
37145,37145,79634854,267.789233598,GET,16de8856,v2/27a7fc97/61f9aac5/blobs/b7de534c,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-67-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,594374583.0,9510ec3b3f,2017-06-20 00:00:38.101
11409,11409,ae280635,35.698979062,GET,d51e1ab3,v2/64431afe/eec8974d/blobs/e82c8695,docker/1.10.0 go/go1.5.3 git-commit/590d5108 kernel/4.4.0-71-generic os/linux arch/amd64,200,67104134.0,4d85546682,2017-06-20 00:00:38.298
48622,48622,79634854,23.099292475,GET,0ee76ffa,v2/4715bf52/958c3568/blobs/4d21fddb,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,52415455.0,5fd8025fcf,2017-06-20 00:00:38.530
26056,26056,79634854,4.83437032,GET,c86f7a7a,v2/987f5d81/7723208a/blobs/4bdcaacd,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-71-generic os/linux arch/amd64 UpstreamClient(Go-http-client/1.1),200,8080954.0,ac109e503e,2017-06-20 00:00:39.098
26108,26108,260f35e1,0.910633523,GET,4fdf6ce6,v2/2886e6b9/14c2878e/blobs/c4b5ad0a,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,7997.0,eeac964e3e,2017-06-20 00:00:49.355
48639,48639,dc118836,2.2756739919999998,GET,4053d99b,v2/2886e6b9/14c2878e/blobs/faa65759,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,3132805.0,11eb16fae6,2017-06-20 00:00:50.740
51145,51145,906357ea,7.284933077000001,GET,4053d99b,v2/2886e6b9/14c2878e/blobs/60da836f,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,15388990.0,c8bb309551,2017-06-20 00:00:55.749
41230,41230,260f35e1,0.8880638980000001,GET,7ad3f9fc,v2/4715bf52/98b638a6/blobs/83d6821d,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,32.0,6607c6835f,2017-06-20 00:00:56.439
26106,26106,ae280635,0.9818777519999989,GET,7ad3f9fc,v2/4715bf52/98b638a6/blobs/8f0fd731,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,1584.0,d62c40a89d,2017-06-20 00:00:56.532
41244,41244,786b3803,48.129110358999995,GET,d51e1ab3,v2/64431afe/eec8974d/blobs/ac50b74d,docker/1.10.0 go/go1.5.3 git-commit/590d5108 kernel/4.4.0-71-generic os/linux arch/amd64,200,108171478.0,b0060973d7,2017-06-20 00:00:56.754
41229,41229,ae280635,1.24031032,GET,7ad3f9fc,v2/4715bf52/98b638a6/blobs/2bee5a5e,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,311203.0,4d99e47882,2017-06-20 00:00:56.796
48390,48390,786b3803,7.564663392999999,GET,4fdf6ce6,v2/2886e6b9/14c2878e/blobs/72c1b103,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,15388990.0,80ee5a4cdb,2017-06-20 00:00:58.315
41231,41231,260f35e1,1.127989973,GET,7ad3f9fc,v2/4715bf52/437c49db/blobs/93054319,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,9576.0,f04743456f,2017-06-20 00:01:03.407
26074,26074,ae280635,1.174549175,GET,7ad3f9fc,v2/4715bf52/437c49db/blobs/85a49e47,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,4963.0,ac29151b03,2017-06-20 00:01:03.455
3557,3557,dc118836,1.163652937,GET,7ad3f9fc,v2/4715bf52/437c49db/blobs/5b7ad194,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,1333.0,d2c44ba5d4,2017-06-20 00:01:04.615
26077,26077,786b3803,1.071007711,GET,377c4e83,v2/4715bf52/b4fc5551/blobs/c9ecc031,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,6796.0,85ae96558e,2017-06-20 00:01:04.711
26075,26075,ae280635,1.191054437,GET,377c4e83,v2/4715bf52/b4fc5551/blobs/87c49d18,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,2059.0,02e38d9087,2017-06-20 00:01:04.831
48391,48391,786b3803,0.916515292,GET,7ad3f9fc,v2/4715bf52/437c49db/blobs/5909f0bd,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,1119.0,c672855f5c,2017-06-20 00:01:05.561
26109,26109,ae280635,1.973868894,GET,377c4e83,v2/4715bf52/b4fc5551/blobs/0a64f96e,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,1927800.0,f403458115,2017-06-20 00:01:05.614
26076,26076,ae280635,0.913340568999999,GET,7ad3f9fc,v2/4715bf52/437c49db/blobs/dec8bf9c,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,3001.0,3155aa040a,2017-06-20 00:01:06.505
3558,3558,260f35e1,0.910100354,GET,7ad3f9fc,v2/4715bf52/437c49db/blobs/567e38ef,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,3023.0,084bad25de,2017-06-20 00:01:07.446
41233,41233,786b3803,1.814367869,GET,7ad3f9fc,v2/4715bf52/437c49db/blobs/326ceca2,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,43713.0,5965abbf57,2017-06-20 00:01:09.292
28099,28099,906357ea,25.77778139,GET,4053d99b,v2/2886e6b9/14c2878e/blobs/90e18a20,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,58311177.0,5065fcb306,2017-06-20 00:01:14.244
41234,41234,ae280635,7.606657854,GET,7ad3f9fc,v2/4715bf52/437c49db/blobs/b1ca9623,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,16190139.0,a6ce30ab4e,2017-06-20 00:01:16.423
3556,3556,260f35e1,0.948724815,GET,7ad3f9fc,v2/4715bf52/437c49db/blobs/bddc059f,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,325.0,0a952ec8cb,2017-06-20 00:01:17.403
15228,15228,260f35e1,0.90309065,GET,7ad3f9fc,v2/4715bf52/437c49db/blobs/fa4a3a31,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,224.0,6e684614be,2017-06-20 00:01:18.339
3559,3559,ae280635,21.938370268000003,GET,7ad3f9fc,v2/4715bf52/437c49db/blobs/2b1521eb,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,51481838.0,6a0cc20fb6,2017-06-20 00:01:24.217
15222,15222,786b3803,24.095864626999997,GET,377c4e83,v2/4715bf52/b4fc5551/blobs/b8fc7a25,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,54406716.0,786715e2cc,2017-06-20 00:01:27.734
41248,41248,786b3803,14.134270613,GET,7ad3f9fc,v2/4715bf52/437c49db/blobs/2c96e307,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,30729070.0,78e59aaa71,2017-06-20 00:01:32.502
48400,48400,786b3803,37.331703363,GET,7ad3f9fc,v2/4715bf52/437c49db/blobs/46ce9891,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,86903451.0,8ebae7474e,2017-06-20 00:01:39.611
4992,4992,906357ea,0.651721407,GET,a11854a1,v2/480badaa/5d2babce/blobs/78710abb,docker/1.12.0 go/go1.6.3 git-commit/535b3ac-unsupported kernel/4.4.0-45-generic os/linux arch/amd64 UpstreamClient(docker-py/1.10.6),200,5952.0,d822efd2c1,2017-06-20 00:02:05.855
3222,3222,260f35e1,0.701181436999999,GET,a11854a1,v2/480badaa/5d2babce/blobs/360b7a29,docker/1.12.0 go/go1.6.3 git-commit/535b3ac-unsupported kernel/4.4.0-45-generic os/linux arch/amd64 UpstreamClient(docker-py/1.10.6),200,450.0,1d4f2870a1,2017-06-20 00:02:05.929
26078,26078,260f35e1,1.315767362,GET,a11854a1,v2/480badaa/5d2babce/blobs/133067e9,docker/1.12.0 go/go1.6.3 git-commit/535b3ac-unsupported kernel/4.4.0-45-generic os/linux arch/amd64 UpstreamClient(docker-py/1.10.6),200,904902.0,868960e126,2017-06-20 00:02:06.543
15225,15225,79634854,1.1928784,GET,a11854a1,v2/480badaa/5d2babce/blobs/a7e9f0ce,docker/1.12.0 go/go1.6.3 git-commit/535b3ac-unsupported kernel/4.4.0-45-generic os/linux arch/amd64 UpstreamClient(docker-py/1.10.6),200,1132453.0,30e4e8d5fa,2017-06-20 00:02:07.139
15224,15224,786b3803,0.9333126389999992,GET,7ad3f9fc,v2/4715bf52/958c3568/blobs/e18ad8f6,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,3785.0,0ef1cc0ffe,2017-06-20 00:02:09.735
26085,26085,ae280635,0.965936921,GET,7ad3f9fc,v2/4715bf52/958c3568/blobs/322f7875,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,78133.0,f3fe794203,2017-06-20 00:02:09.768
1133,1133,ae280635,5.199118596,GET,a11854a1,v2/480badaa/5d2babce/blobs/24adad12,docker/1.12.0 go/go1.6.3 git-commit/535b3ac-unsupported kernel/4.4.0-45-generic os/linux arch/amd64 UpstreamClient(docker-py/1.10.6),200,10486071.0,2f059e360f,2017-06-20 00:02:10.427
48417,48417,786b3803,1.980651733,GET,7ad3f9fc,v2/4715bf52/958c3568/blobs/1c91392a,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,2313384.0,154a90e9d9,2017-06-20 00:02:10.781
26086,26086,ae280635,2.455699922,GET,7ad3f9fc,v2/4715bf52/958c3568/blobs/6f964d32,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,3346037.0,136c016cc3,2017-06-20 00:02:11.256
26084,26084,dc118836,2.019596372,GET,7ad3f9fc,v2/4715bf52/958c3568/blobs/c8f46a24,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,2092316.0,fdc1741c64,2017-06-20 00:02:11.669
11346,11346,786b3803,0.7577140750000001,GET,4fdf6ce6,v2/03f987e2/a38e1907/blobs/45f19b72,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,9008.0,6c74b9e66d,2017-06-20 00:02:33.655
1141,1141,dc118836,22.830055796999996,GET,7ad3f9fc,v2/4715bf52/958c3568/blobs/4d21fddb,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,52415455.0,a5e9d3c4e3,2017-06-20 00:02:33.659
1134,1134,260f35e1,0.7876806249999989,GET,4fdf6ce6,v2/03f987e2/a38e1907/blobs/57676f49,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,6705.0,9762aff411,2017-06-20 00:02:33.883
48395,48395,ae280635,1.620449764,GET,4fdf6ce6,v2/03f987e2/a38e1907/blobs/8e73e760,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,1843308.0,84226d1135,2017-06-20 00:02:35.513
11348,11348,260f35e1,0.7865394640000001,GET,4fdf6ce6,v2/03f987e2/a38e1907/blobs/e66db81c,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,145.0,08de54893d,2017-06-20 00:02:36.162
11351,11351,786b3803,4.852490802,GET,4fdf6ce6,v2/03f987e2/a38e1907/blobs/3744e006,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,9419641.0,f44b0985ba,2017-06-20 00:02:37.948
37165,37165,786b3803,5.758521287000001,GET,4fdf6ce6,v2/03f987e2/a38e1907/blobs/5edee762,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,11397187.0,37b532cba5,2017-06-20 00:02:38.854
26119,26119,260f35e1,0.891115863,GET,4fdf6ce6,v2/f0f8629f/a65747a0/blobs/1aa10dcf,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,2042.0,97244460b3,2017-06-20 00:02:43.405
37166,37166,ae280635,0.948156496,GET,4fdf6ce6,v2/f0f8629f/a65747a0/blobs/fd11c8a7,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,6323.0,b135dcaa97,2017-06-20 00:02:43.437
48396,48396,786b3803,0.938378798,GET,4fdf6ce6,v2/f0f8629f/a65747a0/blobs/510c622d,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,134448.0,f14f027842,2017-06-20 00:02:43.450
11358,11358,786b3803,1.701489658,GET,4fdf6ce6,v2/f0f8629f/a65747a0/blobs/b335faf5,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,1217784.0,2e02e9cd55,2017-06-20 00:02:44.216
11353,11353,260f35e1,0.8874297109999999,GET,4fdf6ce6,v2/f0f8629f/a65747a0/blobs/7d5ab59b,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,224.0,b17d7aabf3,2017-06-20 00:02:44.365
11354,11354,dc118836,0.9963783279999999,GET,4053d99b,v2/f0f8629f/a65747a0/blobs/cda448fb,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,1426.0,23074d0a70,2017-06-20 00:02:44.435
11356,11356,786b3803,0.829239383,GET,4fdf6ce6,v2/f0f8629f/a65747a0/blobs/12158fd3,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,510.0,0c176f1312,2017-06-20 00:02:45.274
1130,1130,ae280635,0.8879778709999999,GET,4fdf6ce6,v2/f0f8629f/a65747a0/blobs/c35fb0ed,docker/1.12.1 go/go1.6.3 git-commit/23cf638 kernel/3.16.0-76-generic os/linux arch/amd64 UpstreamClient(python-requests/2.14.1),200,141.0,a61f96c125,2017-06-20 00:02:45.289
1110,1110,dc118836,1.305066964,GET,269d9a11,v2/4715bf52/c7ddc6f3/blobs/ec96d647,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,6785.0,f2b0b5bb70,2017-06-20 00:02:59.403
26102,26102,79634854,2.438737442,GET,269d9a11,v2/4715bf52/c7ddc6f3/blobs/9500a9bb,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,2059.0,122cb2d3c1,2017-06-20 00:03:00.536
38522,38522,906357ea,3.1212023589999998,GET,269d9a11,v2/4715bf52/c7ddc6f3/blobs/0a64f96e,docker/17.03.1-ce go/go1.7.5 git-commit/c6d412e kernel/4.4.0-78-generic os/linux arch/amd64 UpstreamClient(Docker-Client/17.03.1-ce \(linux\)),200,1927800.0,b77be5a2f3,2017-06-20 00:03:01.219
